
Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-09-21","0","8,417","3.82","0","0","0","0","0","0"
"2019-08-30","0","11,112","5.3","0","0","0","0","0","0"
"2019-09-03","0","11,095","5.28","1","0","0","0","0","0"
"2019-08-31","0","7,449","3.3","0","0","0","0","0","0"
"2019-09-01","0","367","0.15","0","0","0","0","0","0"
"2019-09-02","0","1,740","0.71","0","0","0","0","0","0"
"2019-09-04","0","20,103","9.6","2","0","0","0","0","0"
"2019-09-05","0","16,189","7.77","1","0","0","0","0","0"
"2019-09-06","0","13,150","6.3","2","0","0","0","0","0"
"2019-09-07","0","10,371","4.87","0","0","0","0","0","0"
"2019-09-08","0","8,172","3.93","0","0","0","0","0","0"
"2019-09-09","0","13,194","6.25","1","0","0","0","0","0"
"2019-09-10","0","8,244","3.97","0","0","0","0","0","0"
"2019-09-11","0","7,204","3.5","4","0","0","0","0","0"
"2019-09-12","0","13,805","6.74","0","0","0","0","0","0"
"2019-09-13","0","15,872","7.39","1","0","0","0","0","0"
"2019-09-14","0","10,679","4.91","3","0","0","0","0","0"
"2019-09-15","0","13,151","6.35","0","0","0","0","0","0"
"2019-09-16","0","20,703","10.16","4","0","0","0","0","0"
"2019-09-17","0","9,402","4.62","1","0","0","0","0","0"
"2019-09-18","0","8,244","3.98","0","0","0","0","0","0"
"2019-09-19","0","8,136","3.98","0","0","0","0","0","0"
"2019-09-20","0","9,580","4.41","1","0","0","0","0","0"
"2019-08-22","0","14,808","7.36","1","0","0","0","0","0"
"2019-08-23","0","14,301","6.43","2","0","0","0","0","0"
"2019-08-24","0","10,979","5.12","0","0","0","0","0","0"
"2019-08-26","0","16,127","8.04","0","0","0","0","0","0"
"2019-08-27","0","9,658","4.48","0","0","0","0","0","0"
"2019-08-28","0","4,435","2.06","0","0","0","0","0","0"
"2019-08-29","0","8,305","3.97","0","0","0","0","0","0"
"2019-08-25","0","18,937","8.81","10","0","0","0","0","0"
"2018-06-01","0","10,397","5.6","0","0","0","0","0","0"
"2018-06-02","0","13,717","7.24","0","0","0","0","0","0"
"2018-06-03","0","9,945","5.34","0","0","0","0","0","0"
"2019-07-16","0","17,885","8.54","0","0","0","0","0","0"
"2017-09-19","0","17,413","8.62","0","0","0","0","0","0"
"2017-09-20","0","23,192","10.94","1","0","0","0","0","0"
"2017-09-21","0","19,486","9.33","0","0","0","0","0","0"
"2017-09-22","0","18,008","8.65","0","0","0","0","0","0"
"2017-09-23","0","15,993","7.73","4","0","0","0","0","0"
"2017-09-24","0","13,672","6.7","0","0","0","0","0","0"
"2017-09-25","0","24,477","11.68","4","0","0","0","0","0"
"2017-09-26","0","19,900","9.4","0","0","0","0","0","0"
"2017-09-27","0","22,162","10.6","2","0","0","0","0","0"
"2017-10-11","0","17,578","8.23","1","0","0","0","0","0"
"2017-10-12","0","11,895","5.53","0","0","0","0","0","0"
"2017-10-13","0","17,642","8.33","0","0","0","0","0","0"
"2017-10-14","0","23,065","10.91","1","0","0","0","0","0"
"2017-10-15","0","14,115","6.53","0","0","0","0","0","0"
"2017-10-16","0","24,284","11.68","0","0","0","0","0","0"
"2017-10-17","0","20,923","9.92","0","0","0","0","0","0"
"2017-10-18","0","16,312","7.68","0","0","0","0","0","0"
"2017-10-19","0","18,217","9.11","0","0","0","0","0","0"
"2017-10-03","0","16,046","7.48","1","0","0","0","0","0"
"2017-10-04","0","20,358","9.7","0","0","0","0","0","0"
"2017-10-05","0","15,394","7.29","0","0","0","0","0","0"
"2017-10-06","0","18,147","8.6","0","0","0","0","0","0"
"2017-10-07","0","17,443","8.03","2","0","0","0","0","0"
"2017-10-08","0","13,241","6.17","0","0","0","0","0","0"
"2017-10-09","0","20,010","10.44","0","0","0","0","0","0"
"2017-10-10","0","14,690","7.04","2","0","0","0","0","0"
"2018-06-05","0","6,941","3.7","0","0","0","0","0","0"
"2019-07-15","0","11,028","5.38","1","0","0","0","0","0"
"2017-09-15","0","16,493","7.98","0","0","0","0","0","0"
"2018-05-21","0","13,104","7.05","0","0","0","0","0","0"
"2017-09-16","0","23,051","11.22","1","0","0","0","0","0"
"2017-09-05","0","6,346","2.51","0","0","0","0","0","0"
"2017-09-06","0","8,050","3.35","0","0","0","0","0","0"
"2017-09-07","0","7,265","3.06","0","0","0","0","0","0"
"2017-09-08","0","8,235","3.62","0","0","0","0","0","0"
"2017-09-09","0","7,612","3.16","0","0","0","0","0","0"
"2017-09-10","0","3,969","1.59","0","0","0","0","0","0"
"2017-09-11","0","10,316","4.32","1","0","0","0","0","0"
"2017-09-12","0","8,800","3.51","0","0","0","0","0","0"
"2017-09-13","0","13,844","6.08","0","0","0","0","0","0"
"2017-09-14","0","18,340","8.81","0","0","0","0","0","0"
"2018-06-04","0","13,012","6.99","0","0","0","0","0","0"
"2015-03-20","0","8","0.0","0","0","0","0","0","0"
"2015-04-12","0","5,360","2.57","3","0","0","0","0","0"
"2019-02-11","0","4,063","1.89","0","0","0","0","0","0"
"2017-09-28","0","18,608","8.77","1","0","0","0","0","0"
"2017-09-29","0","19,396","9.35","0","0","0","0","0","0"
"2017-09-30","0","18,188","8.63","0","0","0","0","0","0"
"2017-10-01","0","16,529","7.73","0","0","0","0","0","0"
"2017-10-02","0","22,398","10.58","0","0","0","0","0","0"
"2017-07-18","0","10,447","5.58","0","0","0","0","0","0"
"2017-07-19","0","19,385","9.53","0","0","0","0","0","0"
"2017-07-20","0","2,986","1.56","0","0","0","0","0","0"
"2017-07-21","0","13,865","6.77","0","0","0","0","0","0"
"2017-07-23","0","7,509","4.04","0","0","0","0","0","0"
"2017-07-24","0","12,674","6.42","0","0","0","0","0","0"
"2017-07-25","0","20,377","10.71","0","0","0","0","0","0"
"2017-09-17","0","15,981","7.46","2","0","0","0","0","0"
"2017-09-18","0","21,714","10.42","0","0","0","0","0","0"
"2015-04-13","0","6,476","3.32","6","0","0","0","0","0"
"2017-08-27","0","22,304","10.57","1","0","0","0","0","0"
"2017-07-28","0","8,818","4.62","0","0","0","0","0","0"
"2015-04-14","0","4,710","2.39","4","0","0","0","0","0"
"2015-04-15","0","5,022","2.47","3","0","0","0","0","0"
"2015-04-16","0","7,123","3.66","4","0","0","0","0","0"
"2015-04-17","0","3,491","1.7","4","0","0","0","0","0"
"2015-04-18","0","4,673","2.2","5","0","0","0","0","0"
"2015-04-19","0","2,991","1.51","8","0","0","0","0","0"
"2015-04-20","0","5,628","2.64","4","0","0","0","0","0"
"2015-04-21","0","2,899","1.43","2","0","0","0","0","0"
"2015-04-22","0","8,192","4.02","9","0","0","0","0","0"
"2015-04-23","0","7,357","3.17","10","0","0","0","0","0"
"2015-04-24","0","11,947","5.64","6","0","0","0","0","0"
"2015-04-25","0","6,652","3.24","3","0","0","0","0","0"
"2015-04-26","0","2,545","1.37","8","0","0","0","0","0"
"2015-04-27","0","4,253","2.2","2","0","0","0","0","0"
"2015-04-28","0","5,518","3.17","5","0","0","0","0","0"
"2015-04-29","0","5,242","3.03","4","0","0","0","0","0"
"2015-04-30","0","6,512","3.62","3","0","0","0","0","0"
"2015-05-01","0","3,100","1.6","7","0","0","0","0","0"
"2015-05-02","0","4,444","2.52","5","0","0","0","0","0"
"2015-05-03","0","5,122","2.73","12","0","0","0","0","0"
"2015-05-04","0","6,412","3.49","2","0","0","0","0","0"
"2015-05-05","0","7,561","4.21","6","0","0","0","0","0"
"2015-05-06","0","6,073","3.34","3","0","0","0","0","0"
"2015-05-07","0","6,911","3.33","4","0","0","0","0","0"
"2015-05-08","0","5,687","2.77","0","0","0","0","0","0"
"2015-05-09","0","5,283","2.63","0","0","0","0","0","0"
"2015-05-10","0","8,963","4.63","3","0","0","0","0","0"
"2015-05-11","0","5,299","2.95","4","0","0","0","0","0"
"2015-05-12","0","4,119","2.25","4","0","0","0","0","0"
"2015-05-13","0","5,621","3.03","4","0","0","0","0","0"
"2015-05-14","0","5,979","3.31","4","0","0","0","0","0"
"2015-05-15","0","5,115","3.04","5","0","0","0","0","0"
"2015-05-16","0","5,838","2.94","10","0","0","0","0","0"
"2015-05-17","0","3,386","1.9","11","0","0","0","0","0"
"2015-05-18","0","4,881","2.76","1","0","0","0","0","0"
"2015-05-19","0","5,080","2.81","3","0","0","0","0","0"
"2015-05-20","0","5,076","2.87","1","0","0","0","0","0"
"2015-05-21","0","7,489","4.17","3","0","0","0","0","0"
"2017-06-09","0","4,741","2.52","0","0","0","0","0","0"
"2015-05-22","0","16,961","9.06","36","0","0","0","0","0"
"2015-05-23","0","4,337","2.33","5","0","0","0","0","0"
"2015-05-24","0","3,280","1.84","8","0","0","0","0","0"
"2015-05-25","0","5,456","2.94","3","0","0","0","0","0"
"2015-05-26","0","4,452","2.46","7","0","0","0","0","0"
"2015-05-27","0","2,813","1.44","3","0","0","0","0","0"
"2015-05-28","0","6,943","3.87","8","0","0","0","0","0"
"2015-05-29","0","2,526","1.42","5","0","0","0","0","0"
"2015-05-30","0","13,759","7.19","6","0","0","0","0","0"
"2015-05-31","0","7,644","3.64","4","0","0","0","0","0"
"2015-06-01","0","6,327","3.53","6","0","0","0","0","0"
"2015-06-02","0","5,669","3.07","3","0","0","0","0","0"
"2015-06-03","0","4,936","2.64","7","0","0","0","0","0"
"2015-06-04","0","8,540","4.67","7","0","0","0","0","0"
"2015-06-05","0","5,393","2.94","5","0","0","0","0","0"
"2015-06-06","0","5,536","2.91","6","0","0","0","0","0"
"2015-06-07","0","5,036","2.81","12","0","0","0","0","0"
"2015-06-08","0","6,994","3.83","7","0","0","0","0","0"
"2015-06-09","0","3,343","1.87","6","0","0","0","0","0"
"2015-06-10","0","6,025","3.27","5","0","0","0","0","0"
"2015-06-11","0","12,176","6.7","5","0","0","0","0","0"
