Body
Date,Weight,BMI,Fat
"2019-09-21","180.0","0","0"
"2019-09-12","179.01","24.2","13.08"
"2019-07-16","185.0","0","0"
"2017-09-05","187.0","0","0"
"2015-07-31","183.4","24.87","10.7"
"2015-08-02","183.0","0","0"
"2017-09-13","187.0","0","0"
"2019-09-24","358.25","48.6","26.17"
"2019-09-27","179.57","24.3","13.14"
"2019-10-02","178.79","24.2","13.04"
"2019-10-04","179.68","24.3","13.14"
"2019-10-09","178.69","24.2","13.04"
"2019-10-18","184.86","25.0","13.69"
"2019-10-23","180.23","24.4","13.19"
"2019-10-31","179.01","24.2","13.08"
"2019-11-05","179.9","24.4","13.18"
"2019-11-13","180.45","24.4","13.23"
"2019-11-19","178.91","24.2","13.08"
"2020-01-01","180.67","24.5","13.27"
"2020-01-03","181.22","24.5","13.32"
"2020-01-05","236.34","32.0","19.07"
"2020-01-08","177.58","24.1","12.96"
"2020-01-17","184.09","24.9","13.63"
"2020-01-18","179.79","24.4","13.17"
