Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-12-01","1,836","0","0","0","1,440","0","0","0","0"
"2019-12-02","1,836","0","0","0","1,440","0","0","0","0"
"2019-12-03","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-04","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-05","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-06","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-07","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-08","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-09","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-10","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-11","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-12","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-13","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-14","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-15","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-16","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-17","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-18","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-19","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-20","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-21","1,862","270","0.13","0","1,429","11","0","0","42"
"2019-12-22","1,831","69","0.03","0","1,440","0","0","0","0"
"2019-12-23","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-24","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-25","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-26","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-27","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-28","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-29","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-30","1,831","0","0","0","1,440","0","0","0","0"
"2019-12-31","1,831","0","0","0","1,440","0","0","0","0"
