Body
Date,Weight,BMI,Fat
"2019-12-01","190","26.02","0"
"2019-12-02","190","26.02","0"
"2019-12-03","190","26.02","0"
"2019-12-04","190","26.02","0"
"2019-12-05","190","26.02","0"
"2019-12-06","190","26.02","0"
"2019-12-07","190","26.02","0"
"2019-12-08","190","26.02","0"
"2019-12-09","190","26.02","0"
"2019-12-10","190","26.02","0"
"2019-12-11","190","26.02","0"
"2019-12-12","190","26.02","0"
"2019-12-13","190","26.02","0"
"2019-12-14","190","26.02","0"
"2019-12-15","190","26.02","0"
"2019-12-16","190","26.02","0"
"2019-12-17","190","26.02","0"
"2019-12-18","190","26.02","0"
"2019-12-19","190","26.02","0"
"2019-12-20","190","26.02","0"
"2019-12-21","190","26.02","0"
"2019-12-22","190","26.02","0"
"2019-12-23","190","26.02","0"
"2019-12-24","190","26.02","0"
"2019-12-25","190","26.02","0"
"2019-12-26","190","26.02","0"
"2019-12-27","190","26.02","0"
"2019-12-28","190","26.02","0"
"2019-12-29","190","26.02","0"
"2019-12-30","190","26.02","0"
"2019-12-31","190","26.02","0"
